year,month,anomaly_c
1962,Apr,0.05
1962,May,-0.06
1962,Jun,0.03
1962,Jul,0.02
1962,Aug,-0.01
1962,Sep,0.0
1962,Oct,0.01
1962,Nov,0.06
1962,Dec,-0.03
1963,Jan,-0.03
1963,Feb,0.18
1963,Mar,-0.14
1963,Apr,-0.07
1963,May,-0.06
1963,Jun,0.05
1963,Jul,0.06
1963,Aug,0.22
1963,Sep,0.17
1963,Oct,0.15
1963,Nov,0.15
1963,Dec,-0.03
1964,Jan,-0.09
1964,Feb,-0.1
1964,Mar,-0.21
1964,Apr,-0.32
1964,May,-0.25
1964,Jun,-0.04
1964,Jul,-0.04
1964,Aug,-0.22
1964,Sep,-0.29
1964,Oct,-0.31
1964,Nov,-0.21
1964,Dec,-0.3
1965,Jan,-0.08
1965,Feb,-0.17
1965,Mar,-0.13
1965,Apr,-0.19
1965,May,-0.12
1965,Jun,-0.08
1965,Jul,-0.13
1965,Aug,-0.04
1965,Sep,-0.15
1965,Oct,-0.05
1965,Nov,-0.06
1965,Dec,-0.08
1966,Jan,-0.19
1966,Feb,-0.04
1966,Mar,0.03
1966,Apr,-0.13
1966,May,-0.12
1966,Jun,0.01
1966,Jul,0.08
1966,Aug,-0.08
1966,Sep,-0.03
1966,Oct,-0.17
1966,Nov,-0.01
1966,Dec,-0.02
1967,Jan,-0.07
1967,Feb,-0.21
1967,Mar,0.05
1967,Apr,-0.05
1967,May,0.12
1967,Jun,-0.08
1967,Jul,0.02
1967,Aug,0.01
1967,Sep,-0.06
1967,Oct,0.09
1967,Nov,-0.05
1967,Dec,-0.05
1968,Jan,-0.26
1968,Feb,-0.14
1968,Mar,0.21
1968,Apr,-0.05
1968,May,-0.14
1968,Jun,-0.09
1968,Jul,-0.13
1968,Aug,-0.08
1968,Sep,-0.19
1968,Oct,0.09
1968,Nov,-0.05
1968,Dec,-0.14
1969,Jan,-0.11
1969,Feb,-0.18
1969,Mar,0.01
1969,Apr,0.17
1969,May,0.18
1969,Jun,0.03
1969,Jul,-0.04
1969,Aug,0.04
1969,Sep,0.08
1969,Oct,0.09
1969,Nov,0.12
1969,Dec,0.24
1970,Jan,0.08
1970,Feb,0.22
1970,Mar,0.06
1970,Apr,0.05
1970,May,-0.03
1970,Jun,-0.02
1970,Jul,0.02
1970,Aug,-0.1
